stage,unit_index,unit_kind,unit_label,base_label,sequence_order,theta_value,reference_energy,energy_prefix,delta_energy_from_previous,energy_full,energy_full_minus_unit,removal_penalty,parameter_count,logical_2q_count,logical_depth,unit_logical_2q_count,unit_logical_depth,energy_gain_per_2q,energy_gain_per_depth,circuit_hash,removal_circuit_hash,full_circuit_hash
warm_start,1,logical_block,"layer1:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",1,-0.8369213095920685,5.0,2.794271955293598,2.205728044706402,0.1577221837772597,1.9820790618901096,1.8243568781128499,1,2,1,2,1,1.102864022353201,2.205728044706402,55f592e5a9ce8351,6cb1d5239f03b1e3,81a145655c4f20c7
warm_start,2,logical_block,"layer1:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",2,2.4005050345871,5.0,2.981792011877424,-0.18752005658382576,0.1577221837772597,1.1643807245329163,1.0066585407556565,2,4,2,2,1,-0.09376002829191288,-0.18752005658382576,00bd782549a008ac,43ae93a365e238c6,81a145655c4f20c7
warm_start,3,logical_block,layer1:hh_onsite(i=0),hh_onsite(i=0),3,-1.0506416680743866,5.0,2.1192835539190815,0.8625084579583424,0.1577221837772597,2.878216430115917,2.7204942463386574,3,6,3,2,1,0.4312542289791712,0.8625084579583424,65d8d9ca850f9f8c,3a7905fbe3cea268,81a145655c4f20c7
warm_start,4,logical_block,layer1:hh_onsite(i=1),hh_onsite(i=1),4,-0.2609160616136369,5.0,1.2527849387625458,0.8664986151565357,0.1577221837772597,1.0573276983410738,0.8996055145638141,4,8,4,2,1,0.43324930757826785,0.8664986151565357,8d39571fe65f4814,b6a162a23a56454c,81a145655c4f20c7
warm_start,5,logical_block,layer1:hh_phonon(i=0),hh_phonon(i=0),5,-0.5568833143571444,5.0,1.2527849387625452,6.661338147750939e-16,0.1577221837772597,0.15772218377725958,-1.1102230246251565e-16,5,10,5,2,1,3.3306690738754696e-16,6.661338147750939e-16,9fe33126c427b8ec,7d2eda0546f7e46f,81a145655c4f20c7
warm_start,6,logical_block,layer1:hh_phonon(i=1),hh_phonon(i=1),6,-1.5000479446019142,5.0,1.2527849387625452,0.0,0.1577221837772597,0.1577221837772595,-1.942890293094024e-16,6,12,6,2,1,0.0,0.0,15d763666a397aea,29d5c7b181516b52,81a145655c4f20c7
warm_start,7,logical_block,layer1:hh_eph(i=0),hh_eph(i=0),7,0.07031494278284824,5.0,1.2594924356973798,-0.006707496934834634,0.1577221837772597,0.1800199800423513,0.022297796265091624,7,18,7,6,1,-0.0011179161558057722,-0.006707496934834634,626a0017e5a1fa86,00d0a00bee20f5d6,81a145655c4f20c7
warm_start,8,logical_block,layer1:hh_eph(i=1),hh_eph(i=1),8,0.0489767369234069,5.0,1.2627456234529153,-0.0032531877555355138,0.1577221837772597,0.17926250273295824,0.02154031895569855,8,24,8,6,1,-0.000542197959255919,-0.0032531877555355138,dfa5fae2232d74d2,992c04d73712006e,81a145655c4f20c7
warm_start,9,logical_block,"layer2:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",9,0.6604538315631374,5.0,0.2762862244980715,0.9864593989548438,0.1577221837772597,0.6415548380092693,0.4838326542320096,9,26,9,2,1,0.4932296994774219,0.9864593989548438,3c0fa0d0a80f589b,a4933fe62a0c63be,81a145655c4f20c7
warm_start,10,logical_block,"layer2:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",10,1.7049975487846634,5.0,2.2264370042599193,-1.9501507797618478,0.1577221837772597,1.6650849853378622,1.5073628015606024,10,28,10,2,1,-0.9750753898809239,-1.9501507797618478,15c678863c7d6834,b6ff3c0a20b580cd,81a145655c4f20c7
warm_start,11,logical_block,layer2:hh_onsite(i=0),hh_onsite(i=0),11,-0.13459444546187482,5.0,2.347810363291023,-0.12137335903110369,0.1577221837772597,0.29702191031954744,0.13929972654228776,11,30,11,2,1,-0.060686679515551845,-0.12137335903110369,a31f0c8b5d6dbf8d,dbd4350336713016,81a145655c4f20c7
warm_start,12,logical_block,layer2:hh_onsite(i=1),hh_onsite(i=1),12,1.4339267477719242,5.0,2.4562968909321965,-0.1084865276411735,0.1577221837772597,0.3344327303218517,0.17671054654459203,12,32,12,2,1,-0.05424326382058675,-0.1084865276411735,2aa3218b60e165f3,89e1bec6169d8db8,81a145655c4f20c7
warm_start,13,logical_block,layer2:hh_phonon(i=0),hh_phonon(i=0),13,-0.31150540083008915,5.0,2.4459629769941245,0.010333913938072037,0.1577221837772597,0.1609443572739932,0.0032221734967335103,13,34,13,2,1,0.005166956969036018,0.010333913938072037,b39ef2e65e47d1cf,4bee4ec8a228b82e,81a145655c4f20c7
warm_start,14,logical_block,layer2:hh_phonon(i=1),hh_phonon(i=1),14,2.1441347814671188,5.0,2.4905355744511333,-0.04457259745700881,0.1577221837772597,0.20032192427727563,0.04259974050001594,14,36,14,2,1,-0.022286298728504406,-0.04457259745700881,541412562094697a,8e23792a0f01fb83,81a145655c4f20c7
warm_start,15,logical_block,layer2:hh_eph(i=0),hh_eph(i=0),15,-0.0008366817440708108,5.0,2.490569505737456,-3.393128632289688e-05,0.1577221837772597,0.15768656203571085,-3.5621741548835795e-05,15,42,15,6,1,-5.6552143871494804e-06,-3.393128632289688e-05,0bf8766186d757ea,e5619503dd0c8f95,81a145655c4f20c7
warm_start,16,logical_block,layer2:hh_eph(i=1),hh_eph(i=1),16,0.049398083047208656,5.0,2.4935017881796213,-0.002932282442165146,0.1577221837772597,0.15493680010864946,-0.002785383668610225,16,48,16,6,1,-0.0004887137403608577,-0.002932282442165146,ca0a84cf2fd7b6bd,10aa85020e62d80f,81a145655c4f20c7
warm_start,17,logical_block,"layer3:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",17,1.691781748156474,5.0,0.3819298811159289,2.1115719070636922,0.1577221837772597,2.78774467678846,2.6300224930112,17,50,17,2,1,1.0557859535318461,2.1115719070636922,6bdab335fde782da,95e36435365c25bb,81a145655c4f20c7
