regime,method,iteration,absolute_same_cutoff_error,is_display_marker,marker_policy
weak_weak,SNAKE,0,1.0355709009618552,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,1,0.043353119499175419,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,2,0.032972372799869198,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,3,0.02254395453774638,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,4,0.012419000245377454,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,5,0.0022496187569944759,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,6,0.0018319100319090786,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,7,0.0010271631749557697,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,8,0.00064712704190483805,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,9,0.00050904039707355686,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,10,0.00037626735280182899,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,11,0.00037089608805429553,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,12,0.00026670289136321301,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,13,0.00026337141023602406,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,14,4.3141518195621842e-06,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,15,2.7588402606859574e-07,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,16,2.1084388190928394e-07,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,17,2.0394595567907459e-07,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,18,2.0385710941539514e-07,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,19,2.0283752455441117e-07,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,20,9.9215079152337182e-08,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,21,6.4211014616510909e-08,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,22,6.1765748293751699e-08,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,23,6.1417822827536384e-08,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,24,6.1412645191438742e-08,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,25,6.022739340583172e-08,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,26,3.8118200373915556e-08,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,27,3.9558356590418953e-12,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,28,8.2822637637036678e-14,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,29,9.2148511043887993e-15,0,terminal_result_after_preserved_terminal_refit
weak_weak,SNAKE,30,7.9936057773011271e-15,1,terminal_result_after_preserved_terminal_refit
weak_weak,Geo-ADAPT,0,1.0355709009619218,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,1,0.043353119499240256,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,2,0.022473623249678498,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,3,0.0014957332582063998,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,4,0.0013117770378563431,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,5,0.001127815214085226,1,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,6,0.0011278151265112779,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,7,0.0011276027892804796,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,8,0.0011275964298044228,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,9,0.0011275964285104578,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,10,0.0011275964284775952,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,11,0.001127596428446509,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,12,0.0011275964284152007,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,13,0.0011275964283897766,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,14,0.0011275964283586903,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,15,0.0011275964283337103,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,16,0.0011275964283049555,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,17,0.0011275964282764228,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,18,0.0011275964282446704,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,19,0.0011275964282120299,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,20,0.0011275964281843853,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,21,0.0011275964281560746,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,22,0.001127596428128208,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,23,0.0011275964280976769,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,24,0.001127596428068145,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,25,0.0011275964280412776,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,26,0.0011275964280099693,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,27,0.0011275964279783279,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,28,0.0011275964279482409,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,29,0.0011275964279193751,0,retained_existing_plateau_marker
weak_weak,Geo-ADAPT,30,0.0011275964279193751,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,0,1.0355709009619218,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,1,0.043353119499240034,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,2,0.02247362324967872,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,3,0.0014957332582068439,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,4,0.0013117770378571203,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,5,0.0011346839099926065,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,6,0.0011338288294809873,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,7,0.0011278152141340758,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,8,0.0011144896688363159,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,9,0.0011144794229126509,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,10,0.0011050123630553799,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,11,0.0011050122436859766,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,12,0.0011050079061898366,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,13,0.0011030329599489574,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,14,0.0011030328702570369,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,15,0.001103032843610241,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,16,0.0011030328148837754,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,17,0.0010738030898647111,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,18,0.00093940748218590553,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,19,0.00092612089595145441,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,20,0.0009194246713150056,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,21,0.00091931144436052659,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,22,0.0009192819178269751,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,23,0.00036917404831438017,1,retained_existing_plateau_marker
weak_weak,Append-ADAPT,24,0.00036912887564843899,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,25,0.000368957054541319,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,26,0.00036887645785221856,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,27,0.00036887645746785935,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,28,0.00036887645723293616,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,29,0.00036887645699357208,0,retained_existing_plateau_marker
weak_weak,Append-ADAPT,30,0.00036887645699357208,0,retained_existing_plateau_marker
intermediate_weak,SNAKE,0,0.94074799760158345,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,1,0.11999563910865924,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,2,0.10961489240935401,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,3,0.01929111573083242,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,4,0.01386843548320571,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,5,0.0073004014825407415,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,6,0.00064705025561240248,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,7,0.00049728289163081252,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,8,0.00027372811283582488,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,9,0.00019681933699339238,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,10,0.00018639839856204876,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,11,0.00017589288300401407,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,12,0.00017084322490157344,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,13,5.7169229582543224e-05,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,14,1.9662188879498999e-05,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,15,1.9414810723261677e-05,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,16,1.7659610005937854e-05,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,17,1.7318752743689103e-05,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,18,1.0057023054343972e-06,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,19,1.6116808887467471e-08,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,20,6.2199689843112083e-12,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,21,2.8566038423605278e-13,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,22,1.5654144647214707e-14,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,23,3.4416913763379853e-15,1,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,24,2.7755575615628914e-15,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,25,2.7755575615628914e-15,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,26,2.7755575615628914e-15,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,27,2.7755575615628914e-15,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,28,2.7755575615628914e-15,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,29,2.7755575615628914e-15,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,SNAKE,30,2.7755575615628914e-15,0,user_selected_last_plateau_history_checkpoint
intermediate_weak,Geo-ADAPT,0,0.94074799760162653,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,1,0.11999563910870198,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,2,0.099116142859140166,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,3,0.098932933202497964,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,4,0.07795429664731951,1,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,5,0.077770334823548337,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,6,0.077770147102115328,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,7,0.077769932474100301,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,8,0.077769840013346747,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,9,0.077769840013119373,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,10,0.077769840012942848,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,11,0.077769840012795521,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,12,0.077769840012655966,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,13,0.077769840012520408,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,14,0.077769840012382629,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,15,0.077769840012250513,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,16,0.077769840012114066,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,17,0.077769840011969071,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,18,0.077769840011828573,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,19,0.077769840011696456,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,20,0.077769840011562952,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,21,0.077769840011433444,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,22,0.077769840011299163,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,23,0.077769840011169933,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,24,0.077769840011024438,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,25,0.07776984001089704,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,26,0.077769840010770808,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,27,0.07776984001063203,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,28,0.077769840010498414,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,29,0.077769840010371016,0,retained_existing_plateau_marker
intermediate_weak,Geo-ADAPT,30,0.077769840010371016,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,0,0.94074799760162686,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,1,0.11999563910870181,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,2,0.099116142859140721,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,3,0.078138252867669733,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,4,0.077954296647319232,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,5,0.077778543675333711,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,6,0.077777913722673397,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,7,0.077770334823567211,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,8,0.077122320387403853,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,9,0.067232583121340561,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,10,0.067175761368466591,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,11,0.067143653601341391,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,12,0.067060515091283968,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,13,0.066992203019800245,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,14,0.060893525170247043,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,15,0.060713350078572148,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,16,0.060564206807180831,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,17,0.051916890161600837,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,18,0.050029667366213282,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,19,0.045962531000578788,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,20,0.040113007632512354,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,21,0.029871136867236803,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,22,0.024689273084694929,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,23,0.020787821815661855,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,24,0.013339205522747366,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,25,0.0060336370461980815,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,26,0.0054878683972691134,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,27,0.0052236905147739487,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,28,0.003946816613623283,1,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,29,0.0039424802385104596,0,retained_existing_plateau_marker
intermediate_weak,Append-ADAPT,30,0.0039424802385104596,0,retained_existing_plateau_marker
strong_weak,SNAKE,0,0.35043567358249539,0,user_selected_last_plateau_history_checkpoint
strong_weak,SNAKE,1,0.22354129920018007,0,user_selected_last_plateau_history_checkpoint
strong_weak,SNAKE,2,0.0014053442007520012,0,user_selected_last_plateau_history_checkpoint
strong_weak,SNAKE,3,0.0012212922636889445,0,user_selected_last_plateau_history_checkpoint
